id,genre,director
278,"Drama, Crime",Frank Darabont
238,"Drama, Crime",Francis Ford Coppola
240,"Drama, Crime",Francis Ford Coppola
424,"Drama, History, War",Steven Spielberg
389,Drama,Sidney Lumet
129,"Animation, Family, Fantasy",Hayao Miyazaki
155,"Drama, Action, Crime, Thriller",Christopher Nolan
19404,"Comedy, Drama, Romance",Aditya Chopra
497,"Fantasy, Drama, Crime",Frank Darabont
496243,"Comedy, Thriller, Drama",Bong Joon Ho
122,"Adventure, Fantasy, Action",Peter Jackson
680,"Thriller, Crime, Comedy, Drama",Quentin Tarantino
372058,"Animation, Romance, Drama",Makoto Shinkai
429,Western,Sergio Leone
13,"Comedy, Drama, Romance",Robert Zemeckis
157336,"Adventure, Drama, Science Fiction",Christopher Nolan
769,"Drama, Crime",Martin Scorsese
346,"Action, Drama",Akira Kurosawa
12477,"Animation, Drama, War",Isao Takahata
637,"Comedy, Drama",Roberto Benigni
550,"Drama, Thriller",David Fincher
11216,"Drama, Romance",Giuseppe Tornatore
667257,"Family, Drama",Ernesto Contreras
14537,"Action, Drama, History",Masaki Kobayashi
598,"Drama, Crime",Fernando Meirelles
40096,"Comedy, Drama, Fantasy, Romance",Guel Arraes
120,"Adventure, Fantasy, Action",Peter Jackson
539,"Horror, Thriller, Mystery",Alfred Hitchcock
510,Drama,Miloš Forman
696374,"Romance, Drama",Tosca Musk
121,"Adventure, Fantasy, Action",Peter Jackson
311,"Drama, Crime",Sergio Leone
803796,"Family, Fantasy, Music, Comedy, Adventure, Animation","Chris Appelhans, Maggie Kang"
255709,Drama,Lee Joon-ik
324857,"Animation, Action, Adventure, Science Fiction","Bob Persichetti, Peter Ramsey, Rodney Rothman"
4935,"Fantasy, Animation, Adventure",Hayao Miyazaki
1891,"Adventure, Action, Science Fiction",Irvin Kershner
378064,"Animation, Drama, Romance",Naoko Yamada
770156,"Drama, Family",Rob Diamond
423,"Drama, War",Roman Polanski
244786,"Drama, Music",Damien Chazelle
807,"Crime, Mystery, Thriller",David Fincher
761053,"Romance, Drama",Tosca Musk
724089,"Romance, Drama",Tosca Musk
27205,"Action, Science Fiction, Adventure",Christopher Nolan
1058694,Drama,Christopher Zalla
567,"Thriller, Mystery",Alfred Hitchcock
274,"Crime, Thriller, Drama",Jonathan Demme
569094,"Animation, Action, Adventure, Science Fiction","Joaquim Dos Santos, Justin K. Thompson, Kemp Powers"
12493,"Drama, Crime, Thriller",Akira Kurosawa
620249,"Animation, Fantasy, Action",MTJJ
73,Drama,Tony Kaye
820067,"Animation, Comedy, Romance",Masato Jimbo
372754,"Romance, Animation",Shoko Nakamura
128,"Adventure, Fantasy, Animation",Hayao Miyazaki
105,"Adventure, Comedy, Science Fiction",Robert Zemeckis
15804,"Crime, Drama, Romance",Edward Yang
1184918,"Animation, Science Fiction, Family, Drama",Chris Sanders
652837,"Animation, Drama, Romance",Kotaro Tamura
10494,"Animation, Thriller",Satoshi Kon
3782,Drama,Akira Kurosawa
207,Drama,Peter Weir
101,"Crime, Drama, Action",Luc Besson
1356039,"Action, Adventure, Thriller",Chava Cartas
533514,"Animation, Fantasy, Romance, Drama",Taichi Ishidate
599,Drama,Billy Wilder
914,"Comedy, War",Charlie Chaplin
644479,"Drama, Comedy",Jorge Ulloa
42269,"Drama, Comedy",Ettore Scola
632632,"Animation, Drama, Music, Romance",Hikaru Yamaguchi
3082,"Comedy, Drama, Romance",Charlie Chaplin
335,"Drama, Western",Sergio Leone
92321,"Romance, Animation, Fantasy",Takahiro Omori
1139087,"Animation, Family, Fantasy, Comedy","Dan Abraham, Trent Correy"
1585,"Drama, Family, Fantasy",Frank Capra
77338,"Drama, Comedy","Olivier Nakache, Éric Toledano"
28,"Drama, War",Francis Ford Coppola
18491,"Animation, Science Fiction, Action, Drama","Hideaki Anno, Kazuya Tsurumaki"
901,"Comedy, Drama, Romance",Charlie Chaplin
975,"War, Drama",Stanley Kubrick
8587,"Family, Animation, Drama, Adventure","Rob Minkoff, Roger Allers"
637920,Drama,Mehmet Ada Öztekin
29259,"Drama, Thriller, Crime",Jacques Becker
670,"Drama, Thriller, Mystery, Action",Park Chan-wook
572154,"Animation, Romance, Drama, Fantasy",Soichi Masui
10376,"Drama, Music",Giuseppe Tornatore
630566,"Music, Drama, Romance",Justin Baldoni
504253,"Animation, Drama, Romance",Shinichiro Ushijima
447362,"Drama, Romance",Mitja Okorn
568332,Music,Paul Dugdale
299534,"Adventure, Science Fiction, Action","Anthony Russo, Joe Russo"
299536,"Adventure, Action, Science Fiction","Anthony Russo, Joe Russo"
508965,"Animation, Family, Adventure, Comedy, Fantasy",Sergio Pablos
654299,"Comedy, Drama, Music",Pepe Bojórquez
527641,"Romance, Drama",Justin Baldoni
603,"Action, Science Fiction","Lana Wachowski, Lilly Wachowski"
24188,"Drama, Comedy, Adventure",Dino Risi
490132,"Drama, Comedy, History",Peter Farrelly
25237,"Drama, War",Elem Klimov
265177,Drama,Xavier Dolan
110420,"Animation, Family, Drama, Fantasy",Mamoru Hosoda
98,"Action, Drama, Adventure",Ridley Scott
857,"Drama, History, War",Steven Spielberg
618344,"Animation, Action, Science Fiction, Adventure, Fantasy","Christina Sotta, Matt Peters"
16672,"Drama, Thriller",Hiroshi Teshigahara
16869,"Drama, Thriller, War",Quentin Tarantino
441130,"Animation, Family, Adventure, Fantasy","Ross Stewart, Tomm Moore"
315162,"Animation, Adventure, Fantasy, Comedy, Family",Joel Crawford
37257,"Drama, Mystery, Crime",Billy Wilder
92060,"Horror, Thriller, Music",John Landis
1160164,Music,Sam Wrench
694,"Horror, Thriller",Stanley Kubrick
995133,"Animation, Family, Adventure, Fantasy","Charlie Mackesy, Peter Baynton"
635302,"Animation, Action, Fantasy, Thriller",Haruo Sotozaki
283566,"Animation, Action, Science Fiction, Drama","Hideaki Anno, Katsuichi Nakayama, Kazuya Tsurumaki, Mahiro Maeda"
829402,"Animation, Science Fiction, Family, Action",Shannon Tindle
50014,Drama,Tate Taylor
11,"Adventure, Action, Science Fiction",George Lucas
1124,"Drama, Mystery, Science Fiction",Christopher Nolan
354912,"Family, Animation, Music, Adventure",Lee Unkrich
290098,"Thriller, Drama, Romance",Park Chan-wook
11324,"Drama, Thriller, Mystery",Martin Scorsese
620683,Comedy,Susana Garcia
284,"Comedy, Drama, Romance",Billy Wilder
324786,"Drama, History, War",Mel Gibson
313106,"Science Fiction, Adventure",Nick Hurran
522924,"Drama, Romance",Simon Curtis
476292,"Animation, Fantasy, Drama, Adventure",Mari Okada
185,"Science Fiction, Crime",Stanley Kubrick
68718,"Drama, Western",Quentin Tarantino
5156,Drama,Vittorio De Sica
490,"Fantasy, Drama",Ingmar Bergman
77,"Mystery, Thriller",Christopher Nolan
26451,"Drama, Thriller",Elio Petri
851644,"Romance, Drama",Bang Woo-ri
629,"Drama, Crime, Thriller",Bryan Singer
537061,"TV Movie, Adventure, Animation, Comedy, Fantasy, Music, Science Fiction, Action, Drama",Rebecca Sugar
361743,"Action, Drama",Joseph Kosinski
18148,Drama,Yasujirō Ozu
348,"Horror, Science Fiction",Ridley Scott
111,"Action, Crime, Drama",Brian De Palma
1422,"Drama, Thriller, Crime",Martin Scorsese
426,"Mystery, Romance, Thriller",Alfred Hitchcock
20941,"Drama, War",Luis Mandoki
823219,"Animation, Adventure, Fantasy, Family",Gints Zilbalodis
81481,Drama,Hwang Dong-hyuk
489,Drama,Gus Van Sant
289,"Drama, Romance",Michael Curtiz
517814,Drama,Nadine Labaki
399106,"Family, Animation",Alan Barillaro
10098,"Comedy, Drama",Charlie Chaplin
592350,"Animation, Action, Fantasy, Adventure",Kenji Nagasaki
797,Drama,Ingmar Bergman
37165,"Comedy, Drama",Peter Weir
872,"Comedy, Romance","Gene Kelly, Stanley Donen"
458220,Drama,Fisher Stevens
666,Drama,Walter Salles
606856,"Adventure, Family",Ericson Core
20914,Comedy,Mario Monicelli
812225,"Animation, Fantasy, Action, Adventure",Ayataka Tanemura
103,"Crime, Drama",Martin Scorsese
693134,"Science Fiction, Adventure",Denis Villeneuve
422,Drama,Federico Fellini
610892,"Drama, Fantasy, Animation",Haruka Fujita
475557,"Crime, Thriller, Drama",Todd Phillips
9702,"Crime, Action, Drama, Thriller",Taylor Hackford
280,"Action, Thriller, Science Fiction",James Cameron
935,"Comedy, War",Stanley Kubrick
3780,Drama,Akira Kurosawa
600,"Drama, War",Stanley Kubrick
810693,"Animation, Action, Fantasy",Sunghoo Park
20334,"Comedy, Drama, Romance",Ernst Lubitsch
1026227,"Drama, Comedy, History",Paola Cortellesi
575813,"Drama, Crime, Romance",Derek Tsang Kwok-Cheung
500,"Crime, Thriller",Quentin Tarantino
531428,"Drama, Romance, History",Céline Sciamma
406997,"Family, Drama",Stephen Chbosky
1398,"Science Fiction, Drama",Andrei Tarkovsky
791373,"Action, Adventure, Fantasy",Zack Snyder
38288,Comedy,Arturo Brachetti
11878,"Drama, Thriller",Akira Kurosawa
470044,"Crime, Drama",George Tillman Jr.
755812,"Animation, TV Movie, Fantasy, Action",Thomas Astruc
664767,"Animation, Action, Fantasy",Ethan Spaulding
38,"Science Fiction, Drama, Romance",Michel Gondry
11659,"Drama, History, Romance",Marco Tullio Giordana
2457,"Drama, Romance",Marcel Carné
149871,"Animation, Drama, Fantasy",Isao Takahata
411088,"Drama, Mystery, Thriller",Oriol Paulo
12445,"Fantasy, Adventure",David Yates
387,"Drama, History, War",Wolfgang Petersen
406,Drama,Mathieu Kassovitz
831827,"Animation, Family",Natalie Nourigat
705,Drama,Joseph L. Mankiewicz
7345,Drama,Paul Thomas Anderson
762975,"Romance, Drama",Elizabeth Allen Rosenbaum
832,"Drama, Thriller, Crime",Fritz Lang
518068,"Action, Adventure, Fantasy, Thriller",Kim Yong-hwa
8392,"Fantasy, Animation, Family",Hayao Miyazaki
1091,"Horror, Mystery, Science Fiction",John Carpenter
397567,"Action, Adventure, Drama, Fantasy, Thriller",Kim Yong-hwa
439,"Comedy, Drama",Federico Fellini
31439,"Drama, Romance, War",Zhang Yimou
62,"Science Fiction, Mystery, Adventure",Stanley Kubrick
359940,"Crime, Drama",Martin McDonagh
21634,"Drama, History, TV Movie",Russell Mulcahy
11423,"Crime, Drama, Thriller",Bong Joon Ho
4348,"Drama, Romance",Joe Wright
522518,"Family, Adventure, Drama",Gail Mancuso
548,"Crime, Drama, Mystery",Akira Kurosawa
532067,"Animation, Adventure, Comedy, Fantasy",Takaomi Kanasaki
7347,"Drama, Action, Crime",José Padilha
992,"Action, Comedy, Mystery",Buster Keaton
872585,"Drama, History",Christopher Nolan
550776,"Drama, TV Movie, Crime",Jim Donovan
11645,"Action, Drama, History",Akira Kurosawa
437068,"Action, Drama, History",Jang Hoon
381284,"Drama, History",Theodore Melfi
42229,"Drama, Romance",Ettore Scola
1244492,"Animation, Drama",Kiyotaka Oshiyama
1244492,"Animation, Drama",Kiyotaka Oshiyama
698687,"Animation, Science Fiction, Adventure, Family",Josh Cooley
555604,"Animation, Fantasy, Adventure, Drama","Guillermo del Toro, Mark Gustafson"
1064486,"Animation, Drama, Comedy",Adam Elliot
800,"Drama, Crime",Luis Buñuel
640344,"Family, Fantasy",Gianluca Leuzzi
334543,Drama,Garth Davis
1087192,"Fantasy, Family, Action, Adventure",Dean DeBlois
472454,"Drama, War, History",Can Ulkay
120467,"Comedy, Drama",Wes Anderson
980477,"Animation, Fantasy, Adventure, Action",Yang Yu
638507,"Animation, Fantasy, Adventure, Action, Family",Tim Johnson
26022,"Drama, Romance",Karan Johar
582,"Drama, Thriller",Florian Henckel von Donnersmarck
400608,"Comedy, Music","Bo Burnham, Christopher Storer"
310569,Drama,Anna Muylaert
538362,Drama,Alessio Cremonini
106646,"Crime, Drama, Comedy",Martin Scorsese
9277,"Comedy, Crime, Drama",George Roy Hill
821,"Drama, History",Stanley Kramer
823754,"Comedy, Drama",Bo Burnham
610461,Comedy,Noé Santillán-López
279,"History, Music, Drama",Miloš Forman
147,Drama,François Truffaut
43949,"Romance, Drama",Rob Reiner
55960,"Comedy, Romance",Camillo Mastrocinque
307,"Drama, War",Roberto Rossellini
204,"Drama, Thriller, Adventure",Henri-Georges Clouzot
938,Western,Sergio Leone
785534,Drama,Can Ulkay
8422,"Drama, Romance",Luchino Visconti
20530,Drama,Yasujirō Ozu
641,"Crime, Drama",Darren Aronofsky
521,"Thriller, Crime",Alfred Hitchcock
838240,"Animation, Drama, Comedy, Science Fiction",Pablo Berger
28178,"Drama, Family",Lasse Hallström
673,"Adventure, Fantasy",Alfonso Cuarón
962232,"Romance, Drama, Music",Diego Freitas
347688,"Family, Animation, Comedy, Mystery","Spike Brandt, Tony Cervone"
359724,"Drama, Action, History",James Mangold
51822,"Drama, Romance",Fernando Sariñana
110416,"Family, Animation, Fantasy",Tomm Moore
400928,"Drama, Comedy",Marc Webb
14,Drama,Sam Mendes
515001,"Comedy, War, Drama",Taika Waititi
264644,"Drama, Thriller",Lenny Abrahamson
20453,"Drama, Comedy",Rajkumar Hirani
3175,"Drama, Romance, War, History",Stanley Kubrick
414419,"Action, Crime, Thriller",Quentin Tarantino
15,"Mystery, Drama",Orson Welles
568160,"Animation, Drama, Fantasy, Romance",Makoto Shinkai
526702,Drama,Ashley Avis
14696,"Fantasy, Drama, Mystery",Kenji Mizoguchi
524,"Crime, Drama",Martin Scorsese
780,"Drama, History",Carl Theodor Dreyer
906126,"Drama, History",J.A. Bayona
140420,"Animation, Family, Romance",John Kahrs
947,"Adventure, History, War",David Lean
205596,"History, Drama, Thriller, War",Morten Tyldum
449176,"Comedy, Drama, Romance",Greg Berlanti
13223,Drama,Clint Eastwood
11778,"Drama, War",Michael Cimino
11658,"Action, Adventure, Drama, History, War",Kang Je-kyu
595,Drama,Robert Mulligan
678580,Comedy,Raúl Martínez
455661,"Animation, Romance, Comedy","Beth David, Esteban Bravo"
339877,"Animation, Drama, Mystery, History","DK Welchman, Hugh Welchman"
19426,Drama,Federico Fellini
530915,"War, History, Thriller",Sam Mendes
337404,"Comedy, Crime, Adventure",Craig Gillespie
7508,Drama,Aamir Khan
678512,"Action, Drama",Alejandro Monteverde
962,"Adventure, Comedy, Drama",Charlie Chaplin
429210,"Comedy, Drama",Daniel Rezende
213,"Thriller, Adventure",Alfred Hitchcock
2517,Drama,Hirokazu Kore-eda
640,"Drama, Crime",Steven Spielberg
25376,"Mystery, Thriller, Drama, Romance",Juan José Campanella
930094,"Comedy, Romance",Matthew López
895,"Drama, History",Andrei Tarkovsky
1000492,Drama,Jeanne Herry
10515,"Adventure, Fantasy, Animation, Action, Family",Hayao Miyazaki
24,"Action, Crime",Quentin Tarantino
12761,Drama,Ingmar Bergman
11104,"Drama, Comedy, Romance",Wong Kar-Wai
862,"Family, Comedy, Animation, Adventure",John Lasseter
424694,"Music, Drama",Bryan Singer
626332,"Drama, History",Eva Longoria
19542,"Drama, Romance","Emeric Pressburger, Michael Powell"
1059,"Drama, Action, Adventure",Akira Kurosawa
41050,"Drama, Romance",Michelangelo Antonioni
28422,"Action, Comedy, Drama, Romance",Sion Sono
1084736,"Adventure, Action, Drama","Alexandre de La Patellière, Matthieu Delaporte"
38286,Comedy,"Aldo Baglio, Giacomo Poretti, Giovanni Storti, Massimo Venier"
76,"Drama, Romance",Richard Linklater
627,"Drama, Crime",Danny Boyle
1396,"Drama, History",Andrei Tarkovsky
329,"Adventure, Science Fiction",Steven Spielberg
574074,"Animation, Family, Drama",Rosana Sullivan
14160,"Animation, Comedy, Family, Adventure",Pete Docter
14160,"Animation, Comedy, Family, Adventure",Pete Docter
237791,"Drama, Romance",Daniel Ribeiro
70,Drama,Clint Eastwood
160885,Comedy,Arturo Brachetti
37797,"Animation, Drama, Family",Yoshifumi Kondo
679,"Action, Thriller, Science Fiction",James Cameron
48035,Drama,Carl Theodor Dreyer
29264,"Comedy, Drama, Fantasy",Luis Buñuel
10386,"Animation, Family, Science Fiction, Drama",Brad Bird
745,"Mystery, Thriller, Drama",M. Night Shyamalan
12104,"Music, Drama",Alan Parker
10997,Drama,Chen Kaige
3090,"Adventure, Drama, Western",John Huston
81,"Adventure, Animation, Fantasy",Hayao Miyazaki
1000837,"Drama, History",Walter Salles
15244,"Drama, Thriller",Robert Bresson
6977,"Crime, Thriller, Western","Ethan Coen, Joel Coen"
30017,"Crime, Drama",Abbas Kiarostami
315465,"Action, Adventure, Animation, Drama, Family, Fantasy",Mamoru Hosoda
5925,"Adventure, Drama, War",John Sturges
197,"Action, Drama, History, War",Mel Gibson
1580,"Thriller, Crime, Drama",Alfred Hitchcock
78,"Science Fiction, Drama, Thriller",Ridley Scott
1000837,"Drama, History",Walter Salles
634649,"Action, Adventure, Science Fiction",Jon Watts
149,"Animation, Science Fiction, Action",Katsuhiro Otomo
6715,"Drama, Family",Peter Horton
76203,"Drama, History",Steve McQueen
18438,"Drama, Comedy, Romance",Lee Hae-jun
8290,"Comedy, War",Gérard Oury
726684,"Animation, Fantasy, Action, TV Movie",Thomas Astruc
447365,"Science Fiction, Adventure, Action, Comedy",James Gunn
9323,"Action, Animation, Science Fiction",Mamoru Oshii
234,"Drama, Horror, Thriller, Crime",Robert Wiene
142061,"Science Fiction, Action, Animation, Mystery",Jay Oliva
489412,"Animation, Comedy",Don Hertzfeldt
242828,"Animation, Drama, Family, Mystery",Hiromasa Yonebayashi
49964,"Drama, Family, Adventure",Abbas Kiarostami
28978,"Comedy, Romance, Drama",Charlie Chaplin
11010,"Comedy, Drama, Romance",Michael Radford
11010,"Comedy, Drama, Romance",Michael Radford
20803,"Comedy, Science Fiction",Leonid Gaidai
10404,Drama,Zhang Yimou
1578,Drama,Martin Scorsese
770,"Drama, War, Romance",Victor Fleming
85,"Adventure, Action",Steven Spielberg
38360,"Drama, Romance, War",Mikhail Kalatozov
25538,Drama,Edward Yang
1646,"Crime, Drama",Richard LaGravenese
1050035,"Mystery, Thriller, Drama",Hirokazu Kore-eda
13398,"Animation, Drama, Comedy",Satoshi Kon
949,"Crime, Drama, Action",Michael Mann
152532,"Drama, History",Jean-Marc Vallée
9764,"Adventure, Drama",Akira Kurosawa
3777,"Drama, History",Akira Kurosawa
829,"Crime, Drama, Mystery, Thriller",Roman Polanski
827,"Thriller, Mystery",Henri-Georges Clouzot
426618,"War, Drama, Romance",Amma Asante
21334,"Drama, Family",Majid Majidi
1092,"Thriller, Mystery",Carol Reed
51482,"TV Movie, Crime, Drama, Fantasy, Thriller, Animation",Tetsuro Araki
33,Western,Clint Eastwood
122906,"Drama, Romance, Fantasy",Richard Curtis
194,"Comedy, Romance",Jean-Pierre Jeunet
916224,"Animation, Drama, Adventure, Fantasy",Makoto Shinkai
180147,Comedy,Gary Alazraki
110,"Drama, Mystery, Romance",Krzysztof Kieślowski
615457,"Action, Thriller",Ilya Naishuller
582927,Drama,Luis Fernando Frías de la Parra
775,"Adventure, Science Fiction",Georges Méliès
405,Drama,Federico Fellini
1376434,"Animation, Action, Science Fiction, Thriller",Dan Trachtenberg
740937,"Drama, History",Olivier Dahan
150540,"Animation, Family, Adventure, Drama, Comedy",Pete Docter
776503,"Drama, Music, Romance",Sian Heder
15383,"War, Drama, Thriller",Jean-Pierre Melville
